Number,TranslatedTitle,OriginalTitle,Year,Languages,Subtitles,Rating,Country,Category,URL,Director,Producer,Actors,Length,Description,Comments,Writer,Picture
"1392","Mi Lista De Deseos","The Life List","2025","ING/ESP","Español","7.0","USA","Comedia, Drama, Romance","https://www.imdb.com/title/tt2172954","Adam Brooks","Adam Brooks, Liza Chasin, Margaret Chernin, Kerry Orent, Hutch Parker","Sofia Carson, Kyle Allen, Sebastian De Souza, Connie Britton, José Zúñiga, Jordi Mollà, Dario Ladani Sanchez, Federico Rodriguez, Marianne Rendón, Michael Rowland","123","Cuando su madre la envía a una misión para completar su lista de deseos de la adolescencia, una joven desvela secretos familiares, encuentra el amor y se redescubre.","mgRRjFON4P8","Adam Brooks, Lori Nelson Spielman","movies.csv_pics\movies_1392.jpg"
"1391","Rescate implacable","A Working Man","2025","ING/ESP","Español","6.2","UK, USA","Acción, Thriller","https://www.imdb.com/title/tt9150192","David Ayer","Volodymyr Artemenko, David Ayer, Bill Block, Rachael Cole, John Friedberg, Alexis Garcia, Beau Harrington, Michael Heimler, Chris Long, Teddy Schwarzman, Anthony M. Scott, Mike Shanks, Jill Silfen, Sylvester Stallone, Jason Statham, Yevgen Stupka, Yevgen Stupka, Yevgen Stupka, Kevin King Templeton, Tom White, Thomas Zadra","Jason Statham, Jason Flemyng, Merab Ninidze, Maximilian Osinski, Cokey Falkow, Michael Peña, David Harbour, Noemi Gonzalez, Arianna Rivas, Isla Gie","116","Levon Cade dejó su profesión para trabajar en la construcción. Pero cuando una chica de la localidad desaparece, se le pide que retome las habilidades que le convirtieron en una figura mítica en la lucha antiterrorista.","fuwWoX7UvmE","Sylvester Stallone, David Ayer, Chuck Dixon","movies.csv_pics\movies_1391.jpg"
"1390","Duplicidad","Duplicity","2025","ING/ESP","Español","5.0","USA","Drama, Misterio","https://www.imdb.com/title/tt28239363","Tyler Perry","Will Areu, Angi Bones, Jamall Ellzy, Tyler Perry, Carole Wurst","Kat Graham, Meagan Tandy, Tyler Lepley, RonReaco Lee, Joshua Adeyeye, Nick Barrotta, Jimi Stanton, Shannon LaNier, Kim Steele, Betty Mitchell","110","Marley, una poderosa abogada, se enfrenta a su caso más personal cuando le encargan descubrir la verdad sobre el asesinato del marido de su mejor amiga. Con la ayuda de su novio, un ex policía convertido en investigador privado, la búsqueda de Marley de lo que realmente sucedió la lleva por un laberinto traicionero de engaño y traición.","OkS_SLBvkm4","Tyler Perry","movies.csv_pics\movies_1390.jpg"
"1389","O'Dessa","O'Dessa","2025","ING/ESP","Español","4.8","Brasil, USA","Drama, Música, Musical","https://www.imdb.com/title/tt26304178","Geremy Jasper","Michael Gottwald, Dan Janvey, Erika Milutin, Jonathan Montepare, Josh Penn, Lourenço Sant'Anna, Noah Stahl, Rodrigo Teixeira, Alan Terpins","Sadie Sink, Bree Elrod, Pokey LaFarge, Cora Sabo, Luka Baresic, Luca Anic, Mark Boone Junior, Harry Cadby, Bill Bekele, Gea Erjavec","106","En busca de recuperar una preciada reliquia familiar, una granjera viaja a una ciudad extraña y peligrosa donde conoce a su verdadero amor. Para salvar su alma, deberá poner a prueba el poder del destino.","WhVkxx8j664","Geremy Jasper","movies.csv_pics\movies_1389.jpg"
"1388","Babygirl: Deseo Prohibido","Babygirl","2024","ING/ESP","Español","6.0","Países Bajos,USA","Drama, Romance, Thriller","https://www.imdb.com/title/tt30057084","Halina Reijn","Christine D'Souza Gelb, Erika Hampson, David Hinojosa, Zach Nutman, Julia Oh, Halina Reijn","Nicole Kidman, Harris Dickinson, Antonio Banderas, Sophie Wilde, Esther McGregor, Vaughan Reilly, Victor Slezak, Leslie Silva, Gaite Jansen, Robert Farrior","114","Romy es una alta ejecutiva que inicia una ardiente aventura de sexo extremo con su joven becario, Samuel (Dickinson) a espaldas de su marido Jacob (Banderas). Romy invertirá su rol habitual en el trabajo, pasando de ser quien da las órdenes a disfrutar siendo sometida en la cama. Esta relación extramatrimonial le permitirá encontrar el camino hacia su libertad sexual, a pesar del riesgo y los prejuicios.","v-iilNoCAHo","Halina Reijn","movies.csv_pics\movies_1388.jpg"
"1387","Novocaine: Sin dolor","Novocaine","2025","ING/ESP","Español","7.0","USA","Acción, Comedia, Thriller","https://www.imdb.com/title/tt29603959","Dan Berk, Robert Olsen","Josh Adler, Paul Barbeau, Adam Friedlander, Joby Harold, Lars Jacobson, Julian Rosenberg, Matt Schwartz, Alan Shearer, Drew Simon, Sam Speiser, Tory Tunnell","Jack Quaid, Amber Midthunder, Ray Nicholson, Jacob Batalon, Betty Gabriel, Matt Walsh, Conrad Kemp, Evan Hengst, Craig Jackson, Lou Beatty Jr.","110","Un hombre introvertido y apacible nace con un extraño trastorno genético que le hace inmune al dolor físico. Cuando su nueva pareja es tomada como rehén en el atraco a un banco, su aflicción se convierte en su superpoder.","BmYcuswoQBY","Lars Jacobson","movies.csv_pics\movies_1387.jpg"
"1386","Depravación","Depravity","2024","ING/ESP","Español","4.3","UK, Tailandia, USA","Crimen, Drama, Misterio, Thriller","https://www.imdb.com/title/tt1659324","Paul Tamasy","Lyza Anderson, Dorothy Aufiero, Scott Clayton, Jordan Gertner, Tyler Gould, Matthew Helderman, Gary Hirsch, Phil Hunt, Wych Kaosayananda, Adam Zachary Smith, Stephen Stapinski, Paul Tamasy, Luke Taylor","Dermot Mulroney, Victoria Justice, Sasha Luss, Taylor John Smith, Alex Roe, Devon Ross, Adam Lazarre-White, Bear Williams, Geoff Browne, Stephen Stapinski","117","Cuando tres vecinos sospechan que su solitario vecino es un asesino en serie, irrumpen en su apartamento para descubrir una fortuna oculta en obras de arte robadas. Pero su descubrimiento se convierte en una pesadilla al verse atrapados en un sádico juego de supervivencia, donde cada esquina esconde un nuevo horror.","6CfNbiVKHXM","Paul Tamasy, Paul Tamasy","movies.csv_pics\movies_1386.jpg"
"1385","Estado eléctrico","The Electric State","2025","ING/ESP","Español","6.1","USA","Acción, Aventura, Comedia, Drama, Sci-Fi","https://www.imdb.com/title/tt7766378","Anthony Russo, Joe Russo","Russell Ackerman, Julia Angelin, Jake Aust, Chris Castaldi, Tim Connors, Thiago Da Costa, Jeffrey Ford, Geoffrey Haley, Benoit Jaubert, Murtaza Kathawala, Mike Larocca, Christopher Markus, Stephen McFeely, Joseph Micucci, Andy Muschietti, Barbara Muschietti, Patrick Newall, Georgina Pope, Anthony Russo, Joe Russo, Angela Russo-Otstot, Pranav Sahni, Pravesh Sahni, John Schoenfelder, Rakesh Singh, Simon Stålenhag, Yoshiko Tanaka, Nick van Dyk, Anthony J. Vorhies, Andy Watts","Woody Norman, Millie Bobby Brown, Ann Russo, Greg Cromer, Vince Pisani, Camrus Johnson, Juan Uribe Brandi, Kurt Loder, Alan Tudyk, Roshni Edwards","128","Una adolescente huérfana atraviesa el oeste americano con un robot misterioso y un vagabundo excéntrico en busca de su hermano menor.","9E6AP1jNzkc","Christopher Markus, Stephen McFeely, Simon Stålenhag","movies.csv_pics\movies_1385.jpg"
"1384","Blindado: Sin Salida","Armor","2024","ING/ESP","Español","3.5","USA","Acción, Crimen, Drama, Thriller","https://www.imdb.com/title/tt29252358","Justin Routt","Chas Allen, Adhrucia Apana, Barry Brooker, Joel Cohen, Randall Emmett, Joshua Fruehling, David Gendron, Matthew Helderman, Phil Hunt, Ali Jazayeri, Thomas Mann, Gwen Osborne, Compton Ross, Vick Seth, Steven Small, Ryan Donnell Smith, Luke Taylor, Stan Wertlieb","Jason Patric, Sylvester Stallone, Josh Wiggins, Dash Mihok, Blake Shields, Josh Whites, Jeff Chase, Martin Bats Bradford, Erin Ownbey, Justin William Davis","89","Un padre y un hijo trabajan como guardias de seguridad para una empresa de camiones blindados. Cuando se encuentran con un equipo de posibles ladrones mientras están atrapados en un puente, deben idear un plan para escapar y asegurar su supervivencia.","AwH0qJC3AUw","Cory Todd Hughes, Adrian Speckert","movies.csv_pics\movies_1384.jpg"
"1383","El Abismo Secreto","The Gorge","2025","ING/ESP","Español","6.7","UK, USA","Acción, Aventura, Terror, Romance, Sci-Fi","https://www.imdb.com/title/tt13654226","Scott Derrickson","Per Henry Borch, C. Robert Cargill, Sherryl Clark, Zach Dean, Scott Derrickson, David Ellison, Marc Evans, Dana Goldberg, Gregory Goodman, Don Granger, Pamela Joyce, Adam Kolbrenner, Cliff Lanning, Miles Teller","Miles Teller, Anya Taylor-Joy, Sigourney Weaver, Sope Dirisu, William Houston, Kobna Holdbrook-Smith, James Marlowe, Julianna Kurokawa, Ruta Gedmintas, Oliver Trevena","127","Dos agentes de élite son secretamente asignados a torres de vigilancia en los lados opuestos de un vasto desfiladero, para proteger al mundo de un misterioso mal que acecha en su interior. Se unen en la distancia, pero han de mantenerse alerta para defenderse del enemigo invisible. Cuando se les revela una amenaza fatal para la humanidad, deben trabajar juntos y poner a prueba su fuerza física y mental para mantener el secreto del desfiladero antes de que sea demasiado tarde.","iMgwaPhAedg","Zach Dean","movies.csv_pics\movies_1383.jpg"
