Number,TranslatedTitle,OriginalTitle,Year,Languages,Subtitles,Rating,Country,Category,URL,Director,Writer,Actors,Length,Description,Comments,Picture
"37","El Brutalista","The Brutalist","2024","Inglés","Español","7.5","United States, United Kingdom, Canada","Drama","https://www.imdb.com/title/tt8999762","Brady Corbet","Brady Corbet, Mona Fastvold","Adrien Brody, Felicity Jones, Guy Pearce, Joe Alwyn, Raffey Cassidy, Stacy Martin, Isaach De Bankolé, Alessandro Nivola, Ariane Labed, Michael Epp","214","Cuando el visionario arquitecto László Toth y su esposa Erzsébet huyen de la Europa de posguerra en 1947 para reconstruir su legado y ver el nacimiento de la América moderna, sus vidas cambian a causa de un misterioso y adinerado cliente.","4Ekj3otDJXM","movies.txt_pics\movies_37.jpg"
"36","Spider-Man: A través del spider-verso","Spider-Man: Across the Spider-Verse","2023","Ing, Esp","Esp, Ing","8.5","United States","Animation, Action, Adventure, Family, Fantasy, Sci-Fi","https://www.imdb.com/title/tt9362722","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Phil Lord, Christopher Miller, Dave Callaham","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez, Jake Johnson, Oscar Isaac, Jason Schwartzman, Issa Rae, Daniel Kaluuya, Karan Soni","140","Miles Morales regresa para el próximo capítulo de la saga ganadora de un Oscar, una aventura épica que transportará a Brooklyn a tiempo completo.","oBmazlyP220","movies.txt_pics\movies_36.jpg"
"35","Recuerdos Mortales","Sleeping Dogs","2024","Ing, Esp","Esp, Ing","6.2","Australia, United States","Crime, Mystery, Thriller","https://www.imdb.com/title/tt8542964","Adam Cooper","Adam Cooper, Bill Collage, E.O. Chirovici","Russell Crowe, Karen Gillan, Marton Csokas, Tommy Flanagan, Thomas M. Wright, Harry Greenwood, Pacharo Mzembe, Lynn Gilmartin, Paula Arundell, Elizabeth Blackmore","110","Un ex detective de homicidios, con pérdida de memoria se ve obligado a resolver un brutal asesinato, sólo para descubrir escalofriantes secretos de su pasado olvidado.","ZbjN2VTqCB0","movies.txt_pics\movies_35.jpg"
"34","Reagan","Reagan","2024","Ing, Esp","Esp, Ing","6.2","United States","Biography, Drama, History","https://www.imdb.com/title/tt1723808","Sean McNamara","Paul Kengor, Howard Klausner","Dennis Quaid, Penelope Ann Miller, Jon Voight, Mena Suvari, David Henrie, Tommy Ragen, Kevin Dillon, Mark Moses, Trevor Donovan, Olek Krupa","141","Un drama basado en la vida de Ronald Reagan, desde su infancia hasta su paso por la oficina oval.","5jsEZvFiTcs","movies.txt_pics\movies_34.jpg"
"33","Vidas Pasadas","Past Lives","2023","Cor, Esp","Español","7.8","United States, South Korea","Drama, Romance","https://www.imdb.com/title/tt13238346","Celine Song","Celine Song","Greta Lee, Teo Yoo, John Magaro, Moon Seung-ah, Leem Seung-min, Yun Ji-hye, Choi Won-young, Ahn Min-yeong, Seo Yeon-Woo, Kiha Chang","105","Nora y Hae Sung, dos amigas de la infancia profundamente unidas, son separadas después de que la familia de Nora emigrara de Corea del Sur. Veinte años después, se reúnen durante una fatídica semana para enfrentarse al amor y al destino.","AEuZ_W_DSNk","movies.txt_pics\movies_33.jpg"
"32","Oppenheimer","Oppenheimer","2023","Ing, Esp","Esp, Ing","8.3","United States, United Kingdom","Biography, Drama, History","https://www.imdb.com/title/tt15398776","Christopher Nolan","Christopher Nolan, Kai Bird, Martin Sherwin","Cillian Murphy, Emily Blunt, Robert Downey Jr., Alden Ehrenreich, Scott Grimes, Jason Clarke, Kurt Koehler, Tony Goldwyn, John Gowans, Macon Blair","180","La historia del científico estadounidense J. Robert Oppenheimer y su papel en el desarrollo de la bomba atómica.","gMPEbJQun68","movies.txt_pics\movies_32.jpg"
"31","Nosferatu","Nosferatu","2024","Ing, Esp","Esp, Ing","7.3","United States, United Kingdom, Hungary","Fantasy, Horror, Mystery","https://www.imdb.com/title/tt5040012","Robert Eggers","Robert Eggers, Henrik Galeen, Bram Stoker","Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård, Aaron Taylor-Johnson, Willem Dafoe, Emma Corrin, Ralph Ineson, Simon McBurney, Adéla Hesová, Milena Konstantinova","132","Una historia gótica de obsesiones entre una joven atormentada en la Alemania del siglo XIX y el antiguo vampiro de Transilvania que la acecha, trayendo consigo un inefable horror.","iEbp8QMGzP0","movies.txt_pics\movies_31.jpg"
"30","Mufasa: El Rey León","Mufasa: The Lion King","2024","Ing, Esp","Esp, Ing","6.6","United States, Canada","Animation, Adventure, Drama, Family, Fantasy, Musical","https://www.imdb.com/title/tt13186482","Barry Jenkins","Jeff Nathanson","Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone, Kagiso Lediga, Preston Nyman, Blue Ivy Carter, John Kani, Mads Mikkelsen, Seth Rogen, Billy Eichner","118","Secuela del éxito de Disney del 2019 'El Rey León'.","jYGUYAaqmlU","movies.txt_pics\movies_30.jpg"
"29","Moana 2","Moana 2","2024","Ing, Esp","Esp, Ing","6.8","United States, Canada","Animation, Adventure, Comedy, Family, Fantasy, Musical","https://www.imdb.com/title/tt13622970","David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","Jared Bush, Dana Ledoux Miller, Jared Bush, Dana Ledoux Miller, Bek Smith, Bryson Chun","Auli'i Cravalho, Dwayne Johnson, Hualalai Chung, Rose Matafeo, David Fane, Awhimai Fraser, Khaleesi Lambert-Tsuda, Temuera Morrison, Nicole Scherzinger, Rachel House","100","Moana y sus amigos exploran el Pacífico Sur en una serie animada musical.","t3C8TrVo0zo","movies.txt_pics\movies_29.jpg"
"28","Los Asesinos de la Luna","Killers of the Flower Moon","2023","Ing, Esp","Esp, Ing","7.6","United States","Crime, Drama, History, Mystery, Romance, Western","https://www.imdb.com/title/tt5537002","Martin Scorsese","Eric Roth, Martin Scorsese, David Grann","Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons, Tantoo Cardinal, John Lithgow, Brendan Fraser, Cara Jade Myers, Janae Collins, Jillian Dion","206","Miembros de la tribu osage en los Estados Unidos son asesinados bajo circunstancias misteriosas en la década de 1920 provocado una importante investigación del FBI que involucra a J. Edgar Hoover.","2sZLqmgL8bw","movies.txt_pics\movies_28.jpg"
"26","Cónclave","Conclave","2024","Ing, Esp","Esp, Ing","7.4","United Kingdom, United States","Drama, Thriller","https://www.imdb.com/title/tt20215234","Edward Berger","Peter Straughan, Robert Harris","Ralph Fiennes, Jacek Koman, Lucian Msamati, Stanley Tucci, John Lithgow, Bruno Novelli, Thomas Loibl, Brían F. O'Byrne, Isabella Rossellini, Rony Kramer","120","Sigue al cardenal Lomeli mientras supervisa al grupo de cardenales encargados de elegir a un nuevo líder de la Iglesia, al tiempo que intenta descubrir un secreto del difunto Pontífice.","eLb0N2NmmEU","movies.txt_pics\movies_26.jpg"
